Activity_ID,Project_ID,WBS_Code,Activity_Name,Category,Subcategory,Unit,Planned_Quantity,Unit_Rate_INR,Budget_Cost_INR,Planned_Start_Date,Planned_End_Date,Duration_Days,Predecessor_ID,Contractor_ID
A026,P001,5.01,Ground Floor Beams,Structure,Beams,m³,105,9000,945000,2026-04-12,2026-05-01,20,A025,C002
A027,P001,5.02,First Floor Beams,Structure,Beams,m³,105,9000,945000,2026-05-03,2026-05-22,20,A026,C002
A028,P001,5.03,Second Floor Beams,Structure,Beams,m³,105,9000,945000,2026-05-24,2026-06-12,20,A027,C002
A029,P001,5.04,Third Floor Beams,Structure,Beams,m³,105,9000,945000,2026-06-14,2026-07-03,20,A028,C002
A030,P001,5.05,Fourth Floor Beams,Structure,Beams,m³,105,9000,945000,2026-07-05,2026-07-24,20,A029,C002
A031,P001,5.06,Fifth Floor Beams,Structure,Beams,m³,105,9000,945000,2026-07-26,2026-08-14,20,A030,C002
A032,P001,5.07,Sixth Floor Beams,Structure,Beams,m³,105,9000,945000,2026-08-16,2026-09-04,20,A031,C002
A033,P001,5.08,Seventh Floor Beams,Structure,Beams,m³,105,9000,945000,2026-09-06,2026-09-25,20,A032,C002
A034,P001,5.09,Eighth Floor Beams,Structure,Beams,m³,105,9000,945000,2026-09-27,2026-10-16,20,A033,C002
A035,P001,5.1,Ninth Floor Beams,Structure,Beams,m³,105,9000,945000,2026-10-18,2026-11-06,20,A034,C002
A036,P001,5.11,Tenth Floor Beams,Structure,Beams,m³,105,9000,945000,2026-11-08,2026-11-27,20,A035,C002
A037,P001,6.01,Ground Floor Slab,Structure,Slab,m³,170,9000,1530000,2026-04-25,2026-05-16,22,A036,C002
A038,P001,6.02,First Floor Slab,Structure,Slab,m³,170,9000,1530000,2026-05-18,2026-06-08,22,A037,C002
A039,P001,6.03,Second Floor Slab,Structure,Slab,m³,170,9000,1530000,2026-06-10,2026-07-01,22,A038,C002
A040,P001,6.04,Third Floor Slab,Structure,Slab,m³,170,9000,1530000,2026-07-03,2026-07-24,22,A039,C002
A041,P001,6.05,Fourth Floor Slab,Structure,Slab,m³,170,9000,1530000,2026-07-26,2026-08-16,22,A040,C002
A042,P001,6.06,Fifth Floor Slab,Structure,Slab,m³,170,9000,1530000,2026-08-18,2026-09-08,22,A041,C002
A043,P001,6.07,Sixth Floor Slab,Structure,Slab,m³,170,9000,1530000,2026-09-10,2026-10-01,22,A042,C002
A044,P001,6.08,Seventh Floor Slab,Structure,Slab,m³,170,9000,1530000,2026-10-03,2026-10-24,22,A043,C002
A045,P001,6.09,Eighth Floor Slab,Structure,Slab,m³,170,9000,1530000,2026-10-26,2026-11-16,22,A044,C002
A046,P001,6.1,Ninth Floor Slab,Structure,Slab,m³,170,9000,1530000,2026-11-18,2026-12-09,22,A045,C002
A047,P001,6.11,Tenth Floor Slab,Structure,Slab,m³,170,9000,1530000,2026-12-11,2026-12-31,21,A046,C002
A048,P001,7.01,Staircase Construction,Structure,Staircase,m³,120,11000,1320000,2026-04-15,2026-05-29,45,A047,C002
A049,P001,8.01,External Brickwork,Masonry,Brickwork,m³,1300,7500,9750000,2026-06-01,2026-08-09,70,A048,C003
A050,P001,8.02,Internal Brickwork,Masonry,Brickwork,m³,900,7500,6750000,2026-06-15,2026-08-28,75,A049,C003
A051,P001,8.03,Lintels,Masonry,RCC Lintel,m³,80,9500,760000,2026-07-01,2026-07-30,30,A050,C003
A052,P001,9.01,Internal Plaster,Finishing,Plaster,m²,18000,280,5040000,2026-08-01,2026-10-14,75,A051,C004
A053,P001,9.02,External Plaster,Finishing,Plaster,m²,12000,320,3840000,2026-08-15,2026-10-18,65,A052,C004
A054,P001,10.01,Toilet Waterproofing,Waterproofing,Waterproofing,m²,1800,420,756000,2026-08-20,2026-09-23,35,A053,C008
A055,P001,10.02,Terrace Waterproofing,Waterproofing,Waterproofing,m²,2500,450,1125000,2026-11-20,2026-12-19,30,A054,C008
A056,P001,11.01,Floor Tiles,Finishing,Flooring,m²,12000,850,10200000,2026-09-15,2026-12-08,85,A055,C004
A057,P001,11.02,Toilet Wall Tiles,Finishing,Tiling,m²,5000,900,4500000,2026-09-25,2026-12-03,70,A056,C004
A058,P001,11.03,Door Installation,Finishing,Doors,no.,220,8500,1870000,2026-10-15,2026-12-18,65,A057,C004
A059,P001,11.04,Window Installation,Finishing,Windows,m²,2500,5200,13000000,2026-09-25,2026-12-03,70,A058,C004
A060,P001,12.01,Internal Painting,Finishing,Painting,m²,25000,180,4500000,2026-10-01,2026-12-19,80,A059,C005
A061,P001,12.02,External Painting,Finishing,Painting,m²,14000,210,2940000,2026-10-15,2026-12-18,65,A060,C005
A062,P001,13.01,Plumbing Works,MEP,Plumbing,m,6500,520,3380000,2026-08-15,2026-11-22,100,A061,C006
A063,P001,13.02,Sanitary Fixtures,MEP,Sanitary,no.,220,6500,1430000,2026-10-20,2026-12-23,65,A062,C006
A064,P001,13.03,Electrical Wiring,MEP,Electrical,m,18000,190,3420000,2026-08-20,2026-11-28,101,A063,C007
A065,P001,13.04,Electrical Fixtures,MEP,Electrical,no.,950,1800,1710000,2026-10-25,2026-12-23,60,A064,C007
A066,P001,14.01,External Drainage,External Works,Drainage,m,900,1200,1080000,2026-10-15,2026-12-08,55,A065,C001
A067,P001,14.02,Paving Works,External Works,Paving,m²,4500,750,3375000,2026-11-01,2026-12-25,55,A066,C001
A068,P001,14.03,Final Cleaning,External Works,Cleaning,m²,85000,12,1020000,2026-12-01,2026-12-25,25,A067,C001
