Cost_ID,Project_ID,Activity_ID,Date,Contractor_ID,Cost_Type,Description,Planned_Cost_INR,Actual_Cost_INR,Vendor_or_Source
CT00149,P001,A048,2026-05-10,C002,Labour,Site labour and workforce cost,205430.12,251675.96,Internal Team
CT00150,P001,A048,2026-05-22,C002,Material,Material purchase and consumption,228980.86,268641.83,C002
CT00151,P001,A049,2026-06-02,C003,Subcontract,Subcontractor work,1521845.9,1464214.76,C003
CT00152,P001,A049,2026-06-20,C003,Material,Material purchase and consumption,1336150.3,1307627.46,C003
CT00153,P001,A049,2026-06-30,C003,Labour,Site labour and workforce cost,1407790.81,1399282.78,Internal Team
CT00154,P001,A049,2026-07-05,C003,Material,Material purchase and consumption,1272304.21,1232706.16,C003
CT00155,P001,A049,2026-07-24,C003,Material,Material purchase and consumption,1219343.98,1193015.37,C003
CT00156,P001,A049,2026-07-26,C003,Equipment,Equipment operation/rental,1149066.39,1217477.99,BuildPlant Equipment
CT00157,P001,A049,2026-08-02,C003,Labour,Site labour and workforce cost,1463976.01,1378195.54,Internal Team
CT00158,P001,A050,2026-06-22,C003,Material,Material purchase and consumption,951781.76,930340.69,C003
CT00159,P001,A050,2026-07-02,C003,Material,Material purchase and consumption,637425.59,647133.77,C003
CT00160,P001,A050,2026-07-17,C003,Labour,Site labour and workforce cost,1050993.83,1010235.01,Internal Team
CT00161,P001,A050,2026-07-18,C003,Subcontract,Subcontractor work,712754.13,669866.39,C003
CT00162,P001,A050,2026-07-22,C003,Material,Material purchase and consumption,867060.96,880440.77,C003
CT00163,P001,A050,2026-08-06,C003,Labour,Site labour and workforce cost,967051.76,1006209.35,Internal Team
CT00164,P001,A050,2026-08-17,C003,Material,Material purchase and consumption,1009353.44,1058734.68,C003
CT00165,P001,A050,2026-08-26,C003,Labour,Site labour and workforce cost,737128.3,743718.51,Internal Team
CT00166,P001,A051,2026-07-05,C003,Subcontract,Subcontractor work,193556.57,193157.55,C003
CT00167,P001,A051,2026-07-09,C003,Labour,Site labour and workforce cost,152692.27,146259.7,Internal Team
CT00168,P001,A051,2026-07-23,C003,Subcontract,Subcontractor work,192625.45,179291.9,C003
CT00169,P001,A051,2026-07-27,C003,Material,Material purchase and consumption,230988.88,217086.81,C003
CT00170,P001,A052,2026-08-08,C004,Labour,Site labour and workforce cost,574075.95,592195.96,Internal Team
CT00171,P001,A052,2026-08-08,C004,Material,Material purchase and consumption,773946.05,784783.99,C004
CT00172,P001,A052,2026-08-12,C004,Labour,Site labour and workforce cost,681768.63,674910.37,Internal Team
CT00173,P001,A052,2026-08-15,C004,Labour,Site labour and workforce cost,710678.06,767267.06,Internal Team
CT00174,P001,A052,2026-08-25,C004,Labour,Site labour and workforce cost,523022.64,498118.83,Internal Team
CT00175,P001,A052,2026-09-26,C004,Labour,Site labour and workforce cost,642422.89,640508.51,Internal Team
CT00176,P001,A052,2026-09-27,C004,Labour,Site labour and workforce cost,652544.48,605464.6,Internal Team
CT00177,P001,A052,2026-10-02,C004,Material,Material purchase and consumption,599847.08,607810.97,C004
CT00178,P001,A053,2026-09-06,C004,Labour,Site labour and workforce cost,556086.8,589272.92,Internal Team
CT00179,P001,A053,2026-09-22,C004,Labour,Site labour and workforce cost,597682.71,558513.75,Internal Team
CT00180,P001,A053,2026-09-24,C004,Labour,Site labour and workforce cost,573881.13,548330.84,Internal Team
CT00181,P001,A053,2026-09-26,C004,Material,Material purchase and consumption,612758.83,644861.59,C004
CT00182,P001,A053,2026-09-30,C004,Labour,Site labour and workforce cost,574205.15,582598.89,Internal Team
CT00183,P001,A053,2026-10-03,C004,Material,Material purchase and consumption,504299.37,499962.39,C004
CT00184,P001,A053,2026-10-12,C004,Material,Material purchase and consumption,648441.15,671610.76,C004
CT00185,P001,A054,2026-08-29,C008,Material,Material purchase and consumption,230971.57,231162.02,C008
CT00186,P001,A054,2026-09-01,C008,Material,Material purchase and consumption,163942.4,153600.91,C008
CT00187,P001,A054,2026-09-01,C008,Material,Material purchase and consumption,173719.87,182495.66,C008
CT00188,P001,A054,2026-09-07,C008,Material,Material purchase and consumption,177975.89,185735.81,C008
CT00189,P001,A055,2026-11-23,C008,Labour,Site labour and workforce cost,340776.94,361696.08,Internal Team
CT00190,P001,A055,2026-12-07,C008,Other,Site overhead and miscellaneous,284363.64,286741.06,Internal Team
CT00191,P001,A055,2026-12-14,C008,Material,Material purchase and consumption,240713.59,253016.97,C008
CT00192,P001,A055,2026-12-14,C008,Material,Material purchase and consumption,281053.13,260092.31,C008
CT00193,P001,A056,2026-10-08,C004,Material,Material purchase and consumption,1017929.97,974400.38,C004
CT00194,P001,A056,2026-10-27,C004,Subcontract,Subcontractor work,1489608.48,1405197.08,C004
CT00195,P001,A056,2026-11-07,C004,Subcontract,Subcontractor work,1100770.39,1109332.46,C004
CT00196,P001,A056,2026-11-12,C004,Material,Material purchase and consumption,1093396.15,1034476.39,C004
CT00197,P001,A056,2026-11-14,C004,Labour,Site labour and workforce cost,1315364.1,1287603.24,Internal Team
CT00198,P001,A056,2026-11-19,C004,Material,Material purchase and consumption,1355426.54,1444820.79,C004
CT00199,P001,A056,2026-11-24,C004,Material,Material purchase and consumption,1052508.12,1122130.89,C004
CT00200,P001,A056,2026-12-04,C004,Material,Material purchase and consumption,1531587.35,1612231.58,C004
CT00201,P001,A057,2026-10-12,C004,Material,Material purchase and consumption,645168.25,638663.85,C004
CT00202,P001,A057,2026-10-30,C004,Other,Site overhead and miscellaneous,591337.62,567667.67,Internal Team
CT00203,P001,A057,2026-11-01,C004,Material,Material purchase and consumption,651710.85,638705.64,C004
CT00204,P001,A057,2026-11-07,C004,Labour,Site labour and workforce cost,793906.68,752360.25,Internal Team
CT00205,P001,A057,2026-11-07,C004,Material,Material purchase and consumption,584892.5,565610.75,C004
CT00206,P001,A057,2026-11-08,C004,Material,Material purchase and consumption,656777.95,656702.32,C004
CT00207,P001,A057,2026-11-08,C004,Material,Material purchase and consumption,689059.44,738671.91,C004
CT00208,P001,A058,2026-10-16,C004,Material,Material purchase and consumption,281026.89,322430.89,C004
CT00209,P001,A058,2026-11-02,C004,Material,Material purchase and consumption,205867.37,225834.82,C004
CT00210,P001,A058,2026-11-05,C004,Material,Material purchase and consumption,287845.88,359589.86,C004
CT00211,P001,A058,2026-11-19,C004,Labour,Site labour and workforce cost,202468.0,237857.22,Internal Team
CT00212,P001,A058,2026-11-28,C004,Labour,Site labour and workforce cost,300670.45,366983.84,Internal Team
CT00213,P001,A058,2026-11-29,C004,Labour,Site labour and workforce cost,273180.94,323824.78,Internal Team
CT00214,P001,A058,2026-12-18,C004,Material,Material purchase and consumption,293419.69,359739.66,C004
CT00215,P001,A059,2026-09-26,C004,Material,Material purchase and consumption,1766487.25,1842138.42,C004
CT00216,P001,A059,2026-10-03,C004,Material,Material purchase and consumption,2222192.43,2276437.83,C004
CT00217,P001,A059,2026-10-04,C004,Material,Material purchase and consumption,1508381.08,1459000.49,C004
CT00218,P001,A059,2026-10-15,C004,Material,Material purchase and consumption,2240938.42,2093479.11,C004
CT00219,P001,A059,2026-10-21,C004,Material,Material purchase and consumption,1770651.85,1896015.31,C004
CT00220,P001,A059,2026-11-28,C004,Material,Material purchase and consumption,2275617.35,2243286.54,C004
CT00221,P001,A059,2026-11-29,C004,Material,Material purchase and consumption,2012582.82,1998654.33,C004
CT00222,P001,A060,2026-10-03,C005,Material,Material purchase and consumption,560885.56,587680.96,C005
CT00223,P001,A060,2026-10-09,C005,Labour,Site labour and workforce cost,663999.23,733105.68,Internal Team
CT00224,P001,A060,2026-10-12,C005,Material,Material purchase and consumption,675604.59,749227.21,C005
CT00225,P001,A060,2026-11-06,C005,Subcontract,Subcontractor work,691761.45,726730.17,C005
CT00226,P001,A060,2026-11-09,C005,Labour,Site labour and workforce cost,683950.58,739630.44,Internal Team
CT00227,P001,A060,2026-11-26,C005,Material,Material purchase and consumption,540701.74,584192.36,C005
CT00228,P001,A060,2026-11-30,C005,Labour,Site labour and workforce cost,518231.91,547237.23,Internal Team
CT00229,P001,A060,2026-12-06,C005,Material,Material purchase and consumption,489744.66,508070.18,C005
CT00230,P001,A061,2026-11-16,C005,Material,Material purchase and consumption,474596.85,480282.07,C005
CT00231,P001,A061,2026-11-19,C005,Material,Material purchase and consumption,496214.54,479625.12,C005
CT00232,P001,A061,2026-11-22,C005,Material,Material purchase and consumption,500139.62,518497.58,C005
CT00233,P001,A061,2026-11-23,C005,Material,Material purchase and consumption,482737.46,495449.27,C005
CT00234,P001,A061,2026-11-24,C005,Labour,Site labour and workforce cost,492732.03,531606.53,Internal Team
CT00235,P001,A061,2026-12-08,C005,Material,Material purchase and consumption,403234.2,423487.25,C005
CT00236,P001,A061,2026-12-11,C005,Labour,Site labour and workforce cost,471361.75,467807.32,Internal Team
CT00237,P001,A062,2026-08-25,C006,Material,Material purchase and consumption,331686.67,335657.4,C006
CT00238,P001,A062,2026-09-04,C006,Subcontract,Subcontractor work,415586.5,423185.54,C006
CT00239,P001,A062,2026-09-23,C006,Material,Material purchase and consumption,411361.99,404691.0,C006
CT00240,P001,A062,2026-09-24,C006,Material,Material purchase and consumption,416559.8,422025.01,C006
CT00241,P001,A062,2026-10-07,C006,Material,Material purchase and consumption,422707.7,420823.74,C006
CT00242,P001,A062,2026-10-10,C006,Material,Material purchase and consumption,489642.71,508887.47,C006
CT00243,P001,A062,2026-11-14,C006,Subcontract,Subcontractor work,388991.21,407698.7,C006
CT00244,P001,A062,2026-11-15,C006,Subcontract,Subcontractor work,497208.7,469642.83,C006
CT00245,P001,A063,2026-10-25,C006,Labour,Site labour and workforce cost,242574.05,229605.69,Internal Team
CT00246,P001,A063,2026-11-07,C006,Material,Material purchase and consumption,236936.52,219200.38,C006
CT00247,P001,A063,2026-11-12,C006,Material,Material purchase and consumption,193387.26,204858.48,C006
CT00248,P001,A063,2026-11-26,C006,Subcontract,Subcontractor work,223565.4,224736.54,C006
CT00249,P001,A063,2026-12-02,C006,Material,Material purchase and consumption,192831.83,202467.15,C006
CT00250,P001,A063,2026-12-07,C006,Subcontract,Subcontractor work,225690.61,224549.71,C006
CT00251,P001,A063,2026-12-09,C006,Other,Site overhead and miscellaneous,244375.19,233816.15,Internal Team
CT00252,P001,A064,2026-08-27,C007,Material,Material purchase and consumption,430126.78,451285.4,C007
CT00253,P001,A064,2026-09-06,C007,Material,Material purchase and consumption,396566.43,390877.53,C007
CT00254,P001,A064,2026-09-13,C007,Subcontract,Subcontractor work,356521.74,370258.68,C007
CT00255,P001,A064,2026-09-24,C007,Material,Material purchase and consumption,488356.53,459966.47,C007
CT00256,P001,A064,2026-10-15,C007,Material,Material purchase and consumption,404726.45,430169.5,C007
CT00257,P001,A064,2026-10-23,C007,Other,Site overhead and miscellaneous,321203.68,310861.39,Internal Team
CT00258,P001,A064,2026-11-08,C007,Material,Material purchase and consumption,439265.29,427605.0,C007
CT00259,P001,A064,2026-11-26,C007,Labour,Site labour and workforce cost,378774.66,376352.77,Internal Team
CT00260,P001,A065,2026-10-28,C007,Labour,Site labour and workforce cost,208409.05,197960.66,Internal Team
CT00261,P001,A065,2026-11-04,C007,Material,Material purchase and consumption,243922.44,225694.06,C007
CT00262,P001,A065,2026-11-08,C007,Subcontract,Subcontractor work,210732.75,218285.82,C007
CT00263,P001,A065,2026-11-09,C007,Material,Material purchase and consumption,285494.7,266345.33,C007
CT00264,P001,A065,2026-11-25,C007,Subcontract,Subcontractor work,290953.78,304803.98,C007
CT00265,P001,A065,2026-12-06,C007,Material,Material purchase and consumption,289440.01,298629.32,C007
CT00266,P001,A065,2026-12-11,C007,Subcontract,Subcontractor work,265557.27,266623.46,C007
CT00267,P001,A066,2026-10-20,C001,Material,Material purchase and consumption,224190.02,212058.02,C001
CT00268,P001,A066,2026-11-08,C001,Material,Material purchase and consumption,206956.13,219784.86,C001
CT00269,P001,A066,2026-11-17,C001,Other,Site overhead and miscellaneous,139398.78,145065.97,Internal Team
CT00270,P001,A066,2026-11-19,C001,Material,Material purchase and consumption,166925.28,170894.01,C001
CT00271,P001,A066,2026-11-25,C001,Labour,Site labour and workforce cost,181264.34,174296.31,Internal Team
CT00272,P001,A066,2026-12-04,C001,Equipment,Equipment operation/rental,147169.92,138150.11,BuildPlant Equipment
CT00273,P001,A067,2026-11-06,C001,Material,Material purchase and consumption,656961.46,612302.74,C001
CT00274,P001,A067,2026-11-06,C001,Labour,Site labour and workforce cost,629952.5,679184.28,Internal Team
CT00275,P001,A067,2026-11-13,C001,Labour,Site labour and workforce cost,659980.75,668393.1,Internal Team
CT00276,P001,A067,2026-11-20,C001,Labour,Site labour and workforce cost,598152.96,584112.11,Internal Team
CT00277,P001,A067,2026-12-06,C001,Other,Site overhead and miscellaneous,612980.22,639499.74,Internal Team
CT00278,P001,A067,2026-12-14,C001,Material,Material purchase and consumption,702626.76,701779.44,C001
CT00279,P001,A068,2026-12-02,C001,Material,Material purchase and consumption,214685.54,203204.25,C001
CT00280,P001,A068,2026-12-12,C001,Material,Material purchase and consumption,196982.94,208746.44,C001
CT00281,P001,A068,2026-12-15,C001,Material,Material purchase and consumption,279671.94,259085.69,C001
